,Date ,Adj_Close,Inflation_Rate,Adj_inflation,Close,dolar_Adj_inflation ,Dolar_Close,Close_inflation,Rendimiento annual
0,2024-12-31,660.3596,2.119,6463.66580076,665.3222,6603.596,6653.222,6512.24022582,0.793804017533617
1,2025-12-31,666.20465,2.1932,6515.934496162,671.1123,6662.0465,6711.123,6563.934650364,1.3833370759254
2,2026-12-31,675.2835,2.2311,6602.172498315,680.6598,6752.835,6806.598,6654.735992022,1.87989927918972
3,2027-12-31,687.26556,2.2384,6718.8180770496,693.5073,6872.6556,6935.073,6779.838325968,2.28832240369461
4,2028-12-31,701.99805,2.2461,6862.3047179895,709.43286,7019.9805,7094.3286,6934.9828853154,2.67104876201691
5,2029-12-31,719.47614,2.2479,7033.0303584894,728.39557,7194.7614,7283.9557,7120.2196598197,3.05178834148219
6,2030-12-31,739.80566,2.2366,7232.5916660844,750.5379,7398.0566,7505.379,7337.513693286,3.41975834522261
7,2031-12-31,763.325,2.234,7462.723195,776.18384,7633.25,7761.8384,7588.438930144,3.84812710670201
8,2032-12-31,790.64056,2.2096,7731.7056618624,805.85126,7906.4056,8058.5126,7880.4517055904,4.31433456534494
9,2033-12-31,822.1108,2.171,8042.62774532,840.2867,8221.108,8402.867,8220.44075743,4.83357934117905
10,2034-12-31,858.5244,2.1281,8402.541422436,880.5165,8585.244,8805.165,8617.782283635,5.42205519566004
11,2035-12-31,900.94073,2.0933,8820.8133769891,927.92865,9009.4073,9279.2865,9085.0431956955,6.11574761483524
12,2036-12-31,950.78204,2.0653,9311.4553852788,984.3969,9507.8204,9843.969,9640.661508243,6.99478029640828
13,2037-12-31,1009.9772,1.9965,9898.13005202,1052.5139,10099.772,10525.139,10315.004599865,8.03637150277037
14,2038-12-31,1081.1809,1.8959,10606.827913169,1135.9318,10811.809,11359.318,11143.956690038,9.23306582820082
